TYPE,PATH,LINE,STATUS,inlining-008000,inlining-016000,inlining-032000,inlining-064000,inlining-128000,inlining-256000,summary-001000,summary-002000,summary-004000,summary-008000,summary-016000,summary-032000,summary-064000,POPULARITY
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,217,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/Assertions.cpp,294,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/llvm/include/llvm/ADT/APInt.h,505,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/neven/Embedded/common/src/b_BasicEm/Math.c,756,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Integer overflow,external/llvm/lib/VMCore/Instructions.cpp,3233,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/Support/SmallVector.cpp,38,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/llvm/lib/Support/APInt.cpp,1654,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/Deque.h,62,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/chromium/base/string_number_conversions.cc,237,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IPresetReverb.c,44,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Lex/ModuleMap.cpp,323,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/valgrind/main/VEX/priv/guest_generic_x87.c,581,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/HashTable.h,832,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/valgrind/main/memcheck/mc_main.c,2342,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/ObjCARC.cpp,1533,TP,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/llvm/lib/CodeGen/MachineTraceMetrics.cpp,991,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/llvm/lib/Analysis/ScalarEvolutionNormalization.cpp,208,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/WebCore/dom/DOMImplementation.cpp,207,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/qemu/fpu/softfloat.c,6164,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/CodeGen/CriticalAntiDepBreaker.cpp,431,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/clang/lib/Basic/FileManager.cpp,401,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/opencv/cv/src/cvsumpixels.cpp,203,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Assigning value to const variable,frameworks/base/libs/androidfw/ResourceTypes.cpp,218,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Lex/ModuleMap.cpp,324,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Serialization/ASTReader.cpp,1462,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/skia/src/core/SkString.cpp,452,Unknown,+,+,+,+,+,+,,,+,,,+,+,9
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/Deque.h,455,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/webkit/Source/WebCore/plugins/PluginPackage.cpp,116,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/WebCore/svg/animation/SVGSMILElement.cpp,228,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/webkit/Source/WebCore/rendering/RenderLayer.cpp,2167,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/skia/src/core/SkAntiRun.h,76,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/chromium/net/disk_cache/storage_block-inl.h,139,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Core/ProgramState.cpp,448,Unclear,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/neven/Embedded/common/src/b_TensorEm/Flt16Mat3D.c,202,Unknown,+,+,+,+,+,+,,,+,,+,+,+,10
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/GVN.cpp,285,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Core/ProgramState.cpp,29,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,sdk/emulator/opengl/shared/OpenglCodecCommon/GLClientState.cpp,355,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1845,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,hardware/libhardware/tests/camera2/camera2_utils.cpp,125,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/include/llvm/MC/MCAssembler.h,954,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/CodeGen/CGObjCMac.cpp,3773,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/valgrind/tsan/ts_valgrind.cc,378,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/Bitcode/Writer/ValueEnumerator.cpp,427,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/CodeGen/SelectionDAG/FastISel.cpp,227,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/chromium/base/logging.cc,419,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/skia/include/core/SkRect.h,100,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/rbbirb.cpp,177,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
